id      ,Type      ,Purpose  ,Completion ,Added on
8523869 ,Apartment ,For Sale ,Ready      ,29 January 2024
8254934 ,Apartment ,For Sale ,Ready      ,28 November 2023
8428787 ,Apartment ,For Sale ,Ready      ,9 January 2024
8223817 ,Apartment ,For Sale ,Ready      ,22 November 2023
8489131 ,Apartment ,For Sale ,Ready      ,22 January 2024
8125207 ,Apartment ,For Sale ,Ready      ,1 November 2023
8512051 ,Apartment ,For Sale ,Off-Plan   ,26 January 2024
8497311 ,Apartment ,For Sale ,Ready      ,24 January 2024
8315710 ,Apartment ,For Sale ,Ready      ,13 December 2023
8522755 ,Apartment ,For Sale ,Ready      ,29 January 2024
8426024 ,Apartment ,For Sale ,Ready      ,9 January 2024
8369572 ,Apartment ,For Sale ,Ready      ,26 December 2023
8433264 ,Apartment ,For Sale ,Ready      ,10 January 2024
8486453 ,Apartment ,For Sale ,Ready      ,22 January 2024
8512623 ,Apartment ,For Sale ,Off-Plan   ,26 January 2024
8507372 ,Apartment ,For Sale ,Off-Plan   ,25 January 2024
8320244 ,Apartment ,For Sale ,Ready      ,14 December 2023
8058551 ,Apartment ,For Sale ,Ready      ,16 October 2023
8110034 ,Apartment ,For Sale ,Ready      ,28 October 2023
8373001 ,Apartment ,For Sale ,Ready      ,26 December 2023
8443128 ,Apartment ,For Sale ,Ready      ,12 January 2024
8296036 ,Apartment ,For Sale ,Ready      ,8 December 2023
8308351 ,Apartment ,For Sale ,Ready      ,12 December 2023
8213579 ,Apartment ,For Sale ,Ready      ,20 November 2023
8468750 ,Apartment ,For Sale ,Ready      ,18 January 2024
8499774 ,Apartment ,For Sale ,Ready      ,24 January 2024
8505143 ,Apartment ,For Sale ,Ready      ,25 January 2024
8508132 ,Apartment ,For Sale ,Ready      ,25 January 2024
8486367 ,Apartment ,For Sale ,Ready      ,22 January 2024
8090851 ,Apartment ,For Sale ,Ready      ,24 October 2023
8377156 ,Apartment ,For Sale ,Ready      ,27 December 2023
8454831 ,Apartment ,For Sale ,Ready      ,15 January 2024
8205691 ,Apartment ,For Sale ,Ready      ,17 November 2023
8196438 ,Apartment ,For Sale ,Off-Plan   ,15 November 2023
8197533 ,Apartment ,For Sale ,Off-Plan   ,16 November 2023
8474934 ,Apartment ,For Sale ,Ready      ,19 January 2024
8424584 ,Apartment ,For Sale ,Ready      ,9 January 2024
8463308 ,Apartment ,For Sale ,Ready      ,17 January 2024
8009124 ,Apartment ,For Sale ,Ready      ,5 October 2023
8430798 ,Apartment ,For Sale ,Ready      ,10 January 2024
8253958 ,Apartment ,For Sale ,Ready      ,28 November 2023
8501721 ,Apartment ,For Sale ,Ready      ,24 January 2024
8322403 ,Apartment ,For Sale ,Ready      ,14 December 2023
8305871 ,Apartment ,For Sale ,Ready      ,11 December 2023
8248536 ,Apartment ,For Sale ,Ready      ,27 November 2023
8452114 ,Apartment ,For Sale ,Ready      ,15 January 2024
8409580 ,Apartment ,For Sale ,Ready      ,5 January 2024
8476557 ,Apartment ,For Sale ,Ready      ,19 January 2024
6976321 ,Apartment ,For Sale ,Ready      ,15 March 2023
8352021 ,Apartment ,For Sale ,Ready      ,21 December 2023
6939566 ,Apartment ,For Sale ,Ready      ,22 January 2024
8444560 ,Apartment ,For Sale ,Ready      ,12 January 2024
5527158 ,Apartment ,For Sale ,Ready      ,19 August 2022
8006880 ,Apartment ,For Sale ,Off-Plan   ,4 October 2023
8457918 ,Apartment ,For Sale ,Ready      ,16 January 2024
8014737 ,Apartment ,For Sale ,Ready      ,6 October 2023
8057724 ,Apartment ,For Sale ,Off-Plan   ,16 October 2023
8248295 ,Apartment ,For Sale ,Ready      ,27 November 2023
8425892 ,Apartment ,For Sale ,Ready      ,9 January 2024
8221869 ,Apartment ,For Sale ,Ready      ,21 November 2023
7325333 ,Apartment ,For Sale ,Ready      ,4 April 2023
8401578 ,Apartment ,For Sale ,Ready      ,3 January 2024
8452491 ,Apartment ,For Sale ,Ready      ,15 January 2024
7963766 ,Apartment ,For Sale ,Ready      ,22 September 2023
8227536 ,Apartment ,For Sale ,Ready      ,22 November 2023
8455995 ,Apartment ,For Sale ,Ready      ,15 January 2024
8428502 ,Apartment ,For Sale ,Ready      ,9 January 2024
8458676 ,Apartment ,For Sale ,Ready      ,16 January 2024
8219045 ,Apartment ,For Sale ,Ready      ,21 November 2023
8158259 ,Apartment ,For Sale ,Ready      ,8 November 2023
8462802 ,Apartment ,For Sale ,Ready      ,17 January 2024
8245363 ,Apartment ,For Sale ,Ready      ,27 November 2023
8438544 ,Apartment ,For Sale ,Ready      ,11 January 2024
8158081 ,Apartment ,For Sale ,Ready      ,8 November 2023
8432995 ,Apartment ,For Sale ,Ready      ,10 January 2024
8198835 ,Apartment ,For Sale ,Off-Plan   ,16 November 2023
8198836 ,Apartment ,For Sale ,Off-Plan   ,16 November 2023
6651560 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
6651559 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
6651484 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
7894440 ,Apartment ,For Sale ,Off-Plan   ,5 September 2023
8253176 ,Apartment ,For Sale ,Ready      ,28 November 2023
8253930 ,Apartment ,For Sale ,Ready      ,28 November 2023
8251403 ,Apartment ,For Sale ,Ready      ,28 November 2023
8453941 ,Apartment ,For Sale ,Ready      ,15 January 2024
8129887 ,Apartment ,For Sale ,Ready      ,2 November 2023
7726031 ,Apartment ,For Sale ,Ready      ,24 July 2023
8395553 ,Apartment ,For Sale ,Ready      ,2 January 2024
7758770 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
7829719 ,Apartment ,For Sale ,Ready      ,19 August 2023
5635820 ,Apartment ,For Sale ,Ready      ,14 August 2023
7559908 ,Apartment ,For Sale ,Ready      ,8 June 2023
5498442 ,Apartment ,For Sale ,Ready      ,19 August 2022
8045618 ,Apartment ,For Sale ,Ready      ,13 October 2023
8280253 ,Apartment ,For Sale ,Ready      ,5 December 2023
7638018 ,Apartment ,For Sale ,Off-Plan   ,2 January 2024
6236491 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
7621409 ,Apartment ,For Sale ,Off-Plan   ,23 June 2023
8223739 ,Apartment ,For Sale ,Ready      ,22 November 2023
8204588 ,Apartment ,For Sale ,Ready      ,17 November 2023
8439017 ,Apartment ,For Sale ,Ready      ,11 January 2024
8357641 ,Apartment ,For Sale ,Ready      ,22 December 2023
8160684 ,Apartment ,For Sale ,Ready      ,8 November 2023
8431472 ,Apartment ,For Sale ,Ready      ,10 January 2024
8206039 ,Apartment ,For Sale ,Ready      ,17 November 2023
8427885 ,Apartment ,For Sale ,Ready      ,9 January 2024
8410997 ,Apartment ,For Sale ,Ready      ,5 January 2024
8268007 ,Apartment ,For Sale ,Ready      ,1 December 2023
8425603 ,Apartment ,For Sale ,Ready      ,9 January 2024
8322536 ,Apartment ,For Sale ,Ready      ,14 December 2023
8109536 ,Apartment ,For Sale ,Ready      ,28 October 2023
7945989 ,Apartment ,For Sale ,Ready      ,18 September 2023
6344109 ,Apartment ,For Sale ,Ready      ,24 August 2023
8428820 ,Apartment ,For Sale ,Ready      ,9 January 2024
8305363 ,Apartment ,For Sale ,Ready      ,11 December 2023
8380280 ,Apartment ,For Sale ,Ready      ,28 December 2023
7881066 ,Apartment ,For Sale ,Ready      ,1 September 2023
8436105 ,Apartment ,For Sale ,Off-Plan   ,11 January 2024
8197944 ,Apartment ,For Sale ,Ready      ,16 November 2023
5707965 ,Apartment ,For Sale ,Ready      ,19 August 2022
8157856 ,Apartment ,For Sale ,Ready      ,8 November 2023
6126627 ,Apartment ,For Sale ,Ready      ,8 November 2023
8186008 ,Apartment ,For Sale ,Ready      ,14 November 2023
8320267 ,Apartment ,For Sale ,Ready      ,14 December 2023
8320268 ,Apartment ,For Sale ,Ready      ,14 December 2023
8320248 ,Apartment ,For Sale ,Ready      ,14 December 2023
8348723 ,Apartment ,For Sale ,Ready      ,20 December 2023
8331310 ,Apartment ,For Sale ,Off-Plan   ,16 December 2023
5333448 ,Apartment ,For Sale ,Ready      ,11 September 2023
5321833 ,Apartment ,For Sale ,Ready      ,3 January 2024
8404224 ,Apartment ,For Sale ,Ready      ,4 January 2024
8407671 ,Apartment ,For Sale ,Ready      ,4 January 2024
8072294 ,Apartment ,For Sale ,Ready      ,19 October 2023
7550999 ,Apartment ,For Sale ,Off-Plan   ,6 June 2023
8424583 ,Apartment ,For Sale ,Off-Plan   ,9 January 2024
8302179 ,Apartment ,For Sale ,Ready      ,10 December 2023
8160897 ,Apartment ,For Sale ,Ready      ,8 November 2023
8395693 ,Apartment ,For Sale ,Ready      ,2 January 2024
7558971 ,Apartment ,For Sale ,Ready      ,7 June 2023
8320265 ,Apartment ,For Sale ,Ready      ,14 December 2023
8346226 ,Apartment ,For Sale ,Ready      ,20 December 2023
8088967 ,Apartment ,For Sale ,Ready      ,23 October 2023
8160665 ,Apartment ,For Sale ,Ready      ,8 November 2023
7615906 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
8398727 ,Apartment ,For Sale ,Off-Plan   ,3 January 2024
8382534 ,Apartment ,For Sale ,Off-Plan   ,28 December 2023
8278673 ,Apartment ,For Sale ,Ready      ,5 December 2023
8361588 ,Apartment ,For Sale ,Ready      ,23 December 2023
8349916 ,Apartment ,For Sale ,Ready      ,20 December 2023
8351929 ,Apartment ,For Sale ,Ready      ,21 December 2023
8296510 ,Apartment ,For Sale ,Ready      ,8 December 2023
8294283 ,Apartment ,For Sale ,Ready      ,8 December 2023
7870784 ,Apartment ,For Sale ,Off-Plan   ,30 August 2023
8569888 ,Apartment ,For Sale ,Ready      ,7 February 2024
7970880 ,Apartment ,For Sale ,Ready      ,25 September 2023
8562107 ,Apartment ,For Sale ,Ready      ,6 February 2024
8533859 ,Apartment ,For Sale ,Ready      ,31 January 2024
8528012 ,Apartment ,For Sale ,Ready      ,30 January 2024
8498357 ,Apartment ,For Sale ,Ready      ,24 January 2024
8519745 ,Apartment ,For Sale ,Ready      ,28 January 2024
8528629 ,Apartment ,For Sale ,Ready      ,30 January 2024
8315067 ,Apartment ,For Sale ,Ready      ,13 December 2023
8502796 ,Apartment ,For Sale ,Ready      ,25 January 2024
8498876 ,Apartment ,For Sale ,Ready      ,24 January 2024
8497546 ,Apartment ,For Sale ,Ready      ,24 January 2024
8497253 ,Apartment ,For Sale ,Ready      ,24 January 2024
8509465 ,Apartment ,For Sale ,Ready      ,26 January 2024
8474781 ,Apartment ,For Sale ,Ready      ,19 January 2024
8462600 ,Apartment ,For Sale ,Ready      ,17 January 2024
8449645 ,Apartment ,For Sale ,Ready      ,14 January 2024
8426428 ,Apartment ,For Sale ,Ready      ,9 January 2024
8444768 ,Apartment ,For Sale ,Ready      ,12 January 2024
8463147 ,Apartment ,For Sale ,Ready      ,17 January 2024
8407072 ,Apartment ,For Sale ,Ready      ,4 January 2024
8443478 ,Apartment ,For Sale ,Ready      ,12 January 2024
8438379 ,Apartment ,For Sale ,Ready      ,11 January 2024
8421473 ,Apartment ,For Sale ,Ready      ,8 January 2024
8393643 ,Apartment ,For Sale ,Ready      ,2 January 2024
8361014 ,Apartment ,For Sale ,Ready      ,23 December 2023
8393053 ,Apartment ,For Sale ,Ready      ,2 January 2024
8344509 ,Apartment ,For Sale ,Ready      ,19 December 2023
8326430 ,Apartment ,For Sale ,Ready      ,15 December 2023
8316451 ,Apartment ,For Sale ,Ready      ,13 December 2023
8318666 ,Apartment ,For Sale ,Ready      ,14 December 2023
8309213 ,Apartment ,For Sale ,Ready      ,12 December 2023
8433508 ,Apartment ,For Sale ,Ready      ,10 January 2024
8288264 ,Apartment ,For Sale ,Ready      ,7 December 2023
8282612 ,Apartment ,For Sale ,Ready      ,6 December 2023
8283156 ,Apartment ,For Sale ,Ready      ,6 December 2023
8277079 ,Apartment ,For Sale ,Ready      ,5 December 2023
8324794 ,Apartment ,For Sale ,Ready      ,15 December 2023
8264433 ,Apartment ,For Sale ,Ready      ,30 November 2023
8306764 ,Apartment ,For Sale ,Ready      ,11 December 2023
8395406 ,Apartment ,For Sale ,Ready      ,2 January 2024
8215223 ,Apartment ,For Sale ,Ready      ,20 November 2023
8263028 ,Apartment ,For Sale ,Ready      ,30 November 2023
8219615 ,Apartment ,For Sale ,Ready      ,21 November 2023
8238629 ,Apartment ,For Sale ,Ready      ,24 November 2023
8203163 ,Apartment ,For Sale ,Ready      ,17 November 2023
8206986 ,Apartment ,For Sale ,Ready      ,17 November 2023
8158104 ,Apartment ,For Sale ,Ready      ,8 November 2023
8181822 ,Apartment ,For Sale ,Ready      ,13 November 2023
8235960 ,Apartment ,For Sale ,Ready      ,24 November 2023
8162635 ,Apartment ,For Sale ,Ready      ,8 November 2023
8104347 ,Apartment ,For Sale ,Ready      ,26 October 2023
8140381 ,Apartment ,For Sale ,Ready      ,4 November 2023
8118650 ,Apartment ,For Sale ,Ready      ,30 October 2023
8102975 ,Apartment ,For Sale ,Ready      ,26 October 2023
8065704 ,Apartment ,For Sale ,Ready      ,18 October 2023
8037920 ,Apartment ,For Sale ,Ready      ,12 October 2023
8045281 ,Apartment ,For Sale ,Ready      ,13 October 2023
8001052 ,Apartment ,For Sale ,Ready      ,3 October 2023
8040172 ,Apartment ,For Sale ,Ready      ,12 October 2023
7946606 ,Apartment ,For Sale ,Ready      ,18 September 2023
7996411 ,Apartment ,For Sale ,Ready      ,2 October 2023
7973377 ,Apartment ,For Sale ,Ready      ,26 September 2023
7935961 ,Apartment ,For Sale ,Ready      ,15 September 2023
8496976 ,Apartment ,For Sale ,Ready      ,24 January 2024
8506835 ,Apartment ,For Sale ,Ready      ,25 January 2024
8493288 ,Apartment ,For Sale ,Ready      ,23 January 2024
8315445 ,Apartment ,For Sale ,Ready      ,13 December 2023
7909943 ,Apartment ,For Sale ,Ready      ,8 September 2023
7901301 ,Apartment ,For Sale ,Ready      ,6 September 2023
7998478 ,Apartment ,For Sale ,Ready      ,3 October 2023
8468886 ,Apartment ,For Sale ,Ready      ,18 January 2024
7812040 ,Apartment ,For Sale ,Ready      ,15 August 2023
8446665 ,Apartment ,For Sale ,Ready      ,13 January 2024
7733118 ,Apartment ,For Sale ,Ready      ,26 July 2023
7690899 ,Apartment ,For Sale ,Ready      ,14 July 2023
8489271 ,Apartment ,For Sale ,Ready      ,22 January 2024
8431500 ,Apartment ,For Sale ,Ready      ,10 January 2024
8493291 ,Apartment ,For Sale ,Ready      ,23 January 2024
7366646 ,Apartment ,For Sale ,Ready      ,20 December 2023
6909547 ,Apartment ,For Sale ,Ready      ,8 September 2023
8183117 ,Apartment ,For Sale ,Ready      ,13 November 2023
8320346 ,Apartment ,For Sale ,Ready      ,14 December 2023
8251505 ,Apartment ,For Sale ,Ready      ,28 November 2023
6087558 ,Apartment ,For Sale ,Ready      ,16 January 2024
7917968 ,Apartment ,For Sale ,Ready      ,11 September 2023
7404696 ,Apartment ,For Sale ,Ready      ,15 January 2024
5430551 ,Apartment ,For Sale ,Ready      ,24 November 2023
8574119 ,Apartment ,For Sale ,Ready      ,8 February 2024
8574035 ,Apartment ,For Sale ,Ready      ,8 February 2024
8574976 ,Apartment ,For Sale ,Ready      ,8 February 2024
8561471 ,Apartment ,For Sale ,Ready      ,6 February 2024
8555992 ,Apartment ,For Sale ,Ready      ,5 February 2024
8555994 ,Apartment ,For Sale ,Ready      ,5 February 2024
8579254 ,Apartment ,For Sale ,Off-Plan   ,9 February 2024
8555985 ,Apartment ,For Sale ,Ready      ,5 February 2024
8566078 ,Apartment ,For Sale ,Ready      ,7 February 2024
8547940 ,Apartment ,For Sale ,Off-Plan   ,2 February 2024
8530796 ,Apartment ,For Sale ,Ready      ,30 January 2024
8543381 ,Apartment ,For Sale ,Ready      ,1 February 2024
8530805 ,Apartment ,For Sale ,Ready      ,30 January 2024
8524009 ,Apartment ,For Sale ,Off-Plan   ,29 January 2024
8524007 ,Apartment ,For Sale ,Off-Plan   ,29 January 2024
8463613 ,Apartment ,For Sale ,Off-Plan   ,17 January 2024
8339448 ,Apartment ,For Sale ,Off-Plan   ,18 December 2023
8384842 ,Apartment ,For Sale ,Off-Plan   ,29 December 2023
8341726 ,Apartment ,For Sale ,Off-Plan   ,19 December 2023
8286191 ,Apartment ,For Sale ,Ready      ,6 December 2023
8401233 ,Apartment ,For Sale ,Off-Plan   ,3 January 2024
8261833 ,Apartment ,For Sale ,Off-Plan   ,30 November 2023
8281987 ,Apartment ,For Sale ,Off-Plan   ,6 December 2023
8414147 ,Apartment ,For Sale ,Ready      ,6 January 2024
8374918 ,Apartment ,For Sale ,Off-Plan   ,27 December 2023
8545966 ,Apartment ,For Sale ,Ready      ,2 February 2024
8576028 ,Apartment ,For Sale ,Ready      ,8 February 2024
8545967 ,Apartment ,For Sale ,Ready      ,2 February 2024
8545881 ,Apartment ,For Sale ,Ready      ,2 February 2024
8354797 ,Apartment ,For Sale ,Ready      ,21 December 2023
7765017 ,Apartment ,For Sale ,Ready      ,3 August 2023
8491137 ,Apartment ,For Sale ,Ready      ,23 January 2024
7894380 ,Apartment ,For Sale ,Ready      ,5 September 2023
7940256 ,Apartment ,For Sale ,Off-Plan   ,16 September 2023
7860999 ,Apartment ,For Sale ,Off-Plan   ,28 August 2023
8472823 ,Apartment ,For Sale ,Ready      ,18 January 2024
7677907 ,Apartment ,For Sale ,Off-Plan   ,11 July 2023
7850580 ,Apartment ,For Sale ,Off-Plan   ,24 August 2023
7776340 ,Apartment ,For Sale ,Off-Plan   ,7 August 2023
7682148 ,Apartment ,For Sale ,Ready      ,12 July 2023
7480572 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
7434333 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
6874132 ,Apartment ,For Sale ,Ready      ,16 February 2023
6822547 ,Apartment ,For Sale ,Ready      ,3 February 2023
6822544 ,Apartment ,For Sale ,Ready      ,3 February 2023
7476575 ,Apartment ,For Sale ,Ready      ,18 May 2023
6846240 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
6651482 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
8033275 ,Apartment ,For Sale ,Ready      ,11 October 2023
8316163 ,Apartment ,For Sale ,Off-Plan   ,13 December 2023
8558427 ,Apartment ,For Sale ,Off-Plan   ,5 February 2024
8394665 ,Apartment ,For Sale ,Ready      ,2 January 2024
8466855 ,Apartment ,For Sale ,Ready      ,17 January 2024
8515747 ,Apartment ,For Sale ,Ready      ,27 January 2024
8457625 ,Apartment ,For Sale ,Ready      ,16 January 2024
8344878 ,Apartment ,For Sale ,Ready      ,19 December 2023
8460430 ,Apartment ,For Sale ,Ready      ,16 January 2024
8459214 ,Apartment ,For Sale ,Ready      ,16 January 2024
8025952 ,Apartment ,For Sale ,Off-Plan   ,9 October 2023
7879693 ,Apartment ,For Sale ,Off-Plan   ,1 September 2023
7917368 ,Apartment ,For Sale ,Off-Plan   ,11 September 2023
8173306 ,Apartment ,For Sale ,Off-Plan   ,10 November 2023
8174166 ,Apartment ,For Sale ,Off-Plan   ,10 November 2023
8303990 ,Apartment ,For Sale ,Off-Plan   ,11 December 2023
8537373 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
8488715 ,Apartment ,For Sale ,Ready      ,22 January 2024
8293734 ,Apartment ,For Sale ,Ready      ,8 December 2023
8241181 ,Apartment ,For Sale ,Ready      ,25 November 2023
8395645 ,Apartment ,For Sale ,Ready      ,2 January 2024
8349912 ,Apartment ,For Sale ,Ready      ,20 December 2023
8514064 ,Apartment ,For Sale ,Off-Plan   ,26 January 2024
5767131 ,Apartment ,For Sale ,Ready      ,8 August 2023
7662923 ,Apartment ,For Sale ,Ready      ,7 July 2023
8276394 ,Apartment ,For Sale ,Ready      ,5 December 2023
8029846 ,Apartment ,For Sale ,Off-Plan   ,10 October 2023
8495309 ,Apartment ,For Sale ,Off-Plan   ,23 January 2024
7870910 ,Apartment ,For Sale ,Ready      ,30 August 2023
8270569 ,Apartment ,For Sale ,Ready      ,2 December 2023
8400704 ,Apartment ,For Sale ,Ready      ,3 January 2024
8277550 ,Apartment ,For Sale ,Off-Plan   ,5 December 2023
8277548 ,Apartment ,For Sale ,Off-Plan   ,5 December 2023
7376850 ,Apartment ,For Sale ,Ready      ,24 April 2023
8460597 ,Apartment ,For Sale ,Ready      ,16 January 2024
8469284 ,Apartment ,For Sale ,Ready      ,18 January 2024
8464694 ,Apartment ,For Sale ,Ready      ,17 January 2024
8456099 ,Apartment ,For Sale ,Off-Plan   ,15 January 2024
8457231 ,Apartment ,For Sale ,Ready      ,16 January 2024
8427933 ,Apartment ,For Sale ,Ready      ,9 January 2024
8407917 ,Apartment ,For Sale ,Ready      ,4 January 2024
8422986 ,Apartment ,For Sale ,Ready      ,8 January 2024
8286055 ,Apartment ,For Sale ,Ready      ,6 December 2023
8182475 ,Apartment ,For Sale ,Ready      ,13 November 2023
7982340 ,Apartment ,For Sale ,Ready      ,28 September 2023
8400673 ,Apartment ,For Sale ,Ready      ,3 January 2024
8419577 ,Apartment ,For Sale ,Ready      ,8 January 2024
7634915 ,Apartment ,For Sale ,Ready      ,25 June 2023
8374937 ,Apartment ,For Sale ,Ready      ,27 December 2023
8411562 ,Apartment ,For Sale ,Ready      ,5 January 2024
8308645 ,Apartment ,For Sale ,Ready      ,12 December 2023
8337747 ,Apartment ,For Sale ,Ready      ,18 December 2023
8543017 ,Apartment ,For Sale ,Ready      ,1 February 2024
8252155 ,Apartment ,For Sale ,Ready      ,28 November 2023
8530693 ,Apartment ,For Sale ,Ready      ,30 January 2024
7979595 ,Apartment ,For Sale ,Ready      ,27 September 2023
8510577 ,Apartment ,For Sale ,Ready      ,26 January 2024
8531213 ,Apartment ,For Sale ,Ready      ,30 January 2024
8508114 ,Apartment ,For Sale ,Ready      ,25 January 2024
8507273 ,Apartment ,For Sale ,Ready      ,25 January 2024
8557399 ,Apartment ,For Sale ,Ready      ,5 February 2024
8494187 ,Apartment ,For Sale ,Ready      ,23 January 2024
8478210 ,Apartment ,For Sale ,Ready      ,19 January 2024
8453915 ,Apartment ,For Sale ,Ready      ,15 January 2024
8466880 ,Apartment ,For Sale ,Ready      ,17 January 2024
8430141 ,Apartment ,For Sale ,Ready      ,10 January 2024
8428665 ,Apartment ,For Sale ,Ready      ,9 January 2024
8421658 ,Apartment ,For Sale ,Ready      ,8 January 2024
8423089 ,Apartment ,For Sale ,Ready      ,8 January 2024
8419968 ,Apartment ,For Sale ,Ready      ,8 January 2024
8401644 ,Apartment ,For Sale ,Ready      ,3 January 2024
8397049 ,Apartment ,For Sale ,Ready      ,2 January 2024
8410093 ,Apartment ,For Sale ,Ready      ,5 January 2024
8396539 ,Apartment ,For Sale ,Ready      ,2 January 2024
8433685 ,Apartment ,For Sale ,Ready      ,10 January 2024
8370630 ,Apartment ,For Sale ,Ready      ,26 December 2023
8374903 ,Apartment ,For Sale ,Ready      ,27 December 2023
8411399 ,Apartment ,For Sale ,Ready      ,5 January 2024
8378054 ,Apartment ,For Sale ,Ready      ,27 December 2023
8394801 ,Apartment ,For Sale ,Ready      ,2 January 2024
7879967 ,Apartment ,For Sale ,Ready      ,1 September 2023
8359318 ,Apartment ,For Sale ,Ready      ,22 December 2023
8341185 ,Apartment ,For Sale ,Ready      ,19 December 2023
8356003 ,Apartment ,For Sale ,Ready      ,21 December 2023
8335311 ,Apartment ,For Sale ,Ready      ,18 December 2023
8341150 ,Apartment ,For Sale ,Ready      ,19 December 2023
8318930 ,Apartment ,For Sale ,Ready      ,14 December 2023
8467085 ,Apartment ,For Sale ,Ready      ,17 January 2024
8338339 ,Apartment ,For Sale ,Ready      ,18 December 2023
8307975 ,Apartment ,For Sale ,Ready      ,12 December 2023
8314162 ,Apartment ,For Sale ,Ready      ,13 December 2023
8290005 ,Apartment ,For Sale ,Ready      ,7 December 2023
8328251 ,Apartment ,For Sale ,Ready      ,15 December 2023
8289428 ,Apartment ,For Sale ,Ready      ,7 December 2023
8292070 ,Apartment ,For Sale ,Ready      ,7 December 2023
8288821 ,Apartment ,For Sale ,Ready      ,7 December 2023
8388836 ,Apartment ,For Sale ,Ready      ,30 December 2023
8278579 ,Apartment ,For Sale ,Ready      ,5 December 2023
8312655 ,Apartment ,For Sale ,Ready      ,12 December 2023
8250569 ,Apartment ,For Sale ,Ready      ,28 November 2023
8276356 ,Apartment ,For Sale ,Ready      ,5 December 2023
8313824 ,Apartment ,For Sale ,Ready      ,13 December 2023
8313482 ,Apartment ,For Sale ,Ready      ,13 December 2023
8250728 ,Apartment ,For Sale ,Ready      ,28 November 2023
8233516 ,Apartment ,For Sale ,Ready      ,23 November 2023
8343573 ,Apartment ,For Sale ,Ready      ,19 December 2023
8235238 ,Apartment ,For Sale ,Ready      ,24 November 2023
8264650 ,Apartment ,For Sale ,Ready      ,30 November 2023
8255693 ,Apartment ,For Sale ,Ready      ,29 November 2023
8231383 ,Apartment ,For Sale ,Ready      ,23 November 2023
8247021 ,Apartment ,For Sale ,Ready      ,27 November 2023
8247284 ,Apartment ,For Sale ,Ready      ,27 November 2023
8188008 ,Apartment ,For Sale ,Ready      ,14 November 2023
8259263 ,Apartment ,For Sale ,Ready      ,29 November 2023
8251496 ,Apartment ,For Sale ,Ready      ,28 November 2023
8226685 ,Apartment ,For Sale ,Ready      ,22 November 2023
8204467 ,Apartment ,For Sale ,Ready      ,17 November 2023
8291695 ,Apartment ,For Sale ,Ready      ,7 December 2023
