id,Project Name,Project Status,Last Inspected,Completion,Handover
8433508,NA,NA,NA,NA,NA
8338339,NA,NA,NA,NA,NA
8325449,NA,NA,NA,NA,NA
8309213,NA,NA,NA,NA,NA
8316275,NA,NA,NA,NA,NA
8324794,NA,NA,NA,NA,NA
8283156,NA,NA,NA,NA,NA
8277079,NA,NA,NA,NA,NA
8281693,NA,NA,NA,NA,NA
8250569,NA,NA,NA,NA,NA
8405772,NA,NA,NA,NA,NA
8306764,NA,NA,NA,NA,NA
8264433,NA,NA,NA,NA,NA
8376240,NA,NA,NA,NA,NA
8259787,NA,NA,NA,NA,NA
8264917,NA,NA,NA,NA,NA
8215223,NA,NA,NA,NA,NA
8263028,NA,NA,NA,NA,NA
8238629,NA,NA,NA,NA,NA
8315067,NA,NA,NA,NA,NA
8195562,NA,NA,NA,NA,NA
8206986,NA,NA,NA,NA,NA
8206536,NA,NA,NA,NA,NA
8181822,NA,NA,NA,NA,NA
8158104,NA,NA,NA,NA,NA
8200958,NA,NA,NA,NA,NA
8235960,NA,NA,NA,NA,NA
8259650,NA,NA,NA,NA,NA
8129575,NA,NA,NA,NA,NA
8162635,NA,NA,NA,NA,NA
8140381,NA,NA,NA,NA,NA
8104347,NA,NA,NA,NA,NA
8118650,NA,NA,NA,NA,NA
8096062,NA,NA,NA,NA,NA
8037920,NA,NA,NA,NA,NA
8036209,NA,NA,NA,NA,NA
8493288,NA,NA,NA,NA,NA
7997869,NA,NA,NA,NA,NA
8075966,NA,NA,NA,NA,NA
8045281,NA,NA,NA,NA,NA
8040172,NA,NA,NA,NA,NA
8204838,NA,NA,NA,NA,NA
7946606,NA,NA,NA,NA,NA
7973377,NA,NA,NA,NA,NA
7952760,NA,NA,NA,NA,NA
7923014,NA,NA,NA,NA,NA
7970880,NA,NA,NA,NA,NA
7935961,NA,NA,NA,NA,NA
8315445,NA,NA,NA,NA,NA
7961484,NA,NA,NA,NA,NA
8014693,NA,NA,NA,NA,NA
8403454,NA,NA,NA,NA,NA
8468886,NA,NA,NA,NA,NA
7909943,NA,NA,NA,NA,NA
7880454,NA,NA,NA,NA,NA
8465082,NA,NA,NA,NA,NA
8316483,NA,NA,NA,NA,NA
7850513,NA,NA,NA,NA,NA
8422863,NA,NA,NA,NA,NA
7790021,NA,NA,NA,NA,NA
7812040,NA,NA,NA,NA,NA
8093526,NA,NA,NA,NA,NA
8446665,NA,NA,NA,NA,NA
8406212,NA,NA,NA,NA,NA
8173757,NA,NA,NA,NA,NA
8493291,NA,NA,NA,NA,NA
8320345,NA,NA,NA,NA,NA
8431500,NA,NA,NA,NA,NA
7733118,NA,NA,NA,NA,NA
8404297,NA,NA,NA,NA,NA
8403461,NA,NA,NA,NA,NA
7493385,NA,NA,NA,NA,NA
8465737,NA,NA,NA,NA,NA
8370937,NA,NA,NA,NA,NA
7366646,NA,NA,NA,NA,NA
8502909,NA,NA,NA,NA,NA
6909547,NA,NA,NA,NA,NA
8234864,NA,NA,NA,NA,NA
8320346,NA,NA,NA,NA,NA
8183117,NA,NA,NA,NA,NA
6709761,NA,NA,NA,NA,NA
8087260,NA,NA,NA,NA,NA
6533180,NA,NA,NA,NA,NA
8251505,NA,NA,NA,NA,NA
6794292,NA,NA,NA,NA,NA
6087558,NA,NA,NA,NA,NA
8136996,NA,NA,NA,NA,NA
7917968,NA,NA,NA,NA,NA
5801750,NA,NA,NA,NA,NA
7487947,NA,NA,NA,NA,NA
7404696,NA,NA,NA,NA,NA
5430551,NA,NA,NA,NA,NA
8519745,NA,NA,NA,NA,NA
6822547,NA,NA,NA,NA,NA
8515747,NA,NA,NA,NA,NA
8464138,NA,NA,NA,NA,NA
8443478,NA,NA,NA,NA,NA
8463613,LIV MARINA,Active,October 2023,56%,May 2025
8384842,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8355370,NA,NA,NA,NA,NA
8280025,MARINA SHORES,Active,October 2023,6%,December 2026
8303649,MARINA SHORES,Active,October 2023,6%,December 2026
8261833,LIV LUX,Active,August 2023,3%,December 2026
8281987,Ciel,Active,July 2023,80%,NA
8202990,NA,NA,NA,NA,NA
8264868,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8167027,NA,NA,NA,NA,NA
8126565,NA,NA,NA,NA,NA
7741191,LIV MARINA,Active,October 2023,56%,May 2025
8496976,NA,NA,NA,NA,NA
8491137,NA,NA,NA,NA,NA
7918677,NA,NA,NA,NA,NA
8215083,NA,NA,NA,NA,NA
7860999,MARINA SHORES,Active,October 2023,6%,December 2026
7765017,NA,NA,NA,NA,NA
8375919,NA,NA,NA,NA,NA
7876031,LIV MARINA,Active,October 2023,56%,May 2025
7677907,LIV MARINA,Active,October 2023,56%,May 2025
7776340,LIV LUX,Active,August 2023,3%,December 2026
7594814,LIV LUX,Active,August 2023,3%,December 2026
7594882,LIV MARINA,Active,October 2023,56%,May 2025
8502947,NA,NA,NA,NA,NA
7682148,NA,NA,NA,NA,NA
8355372,NA,NA,NA,NA,NA
8355371,NA,NA,NA,NA,NA
6874132,NA,NA,NA,NA,NA
6822544,NA,NA,NA,NA,NA
7476575,NA,NA,NA,NA,NA
8250124,NA,NA,NA,NA,NA
8293734,NA,NA,NA,NA,NA
8241181,NA,NA,NA,NA,NA
8395645,NA,NA,NA,NA,NA
8349912,NA,NA,NA,NA,NA
8514064,Ciel,Active,July 2023,80%,NA
8474934,NA,NA,NA,NA,NA
8468945,LIV LUX,Active,August 2023,3%,December 2026
5767131,NA,NA,NA,NA,NA
7662923,NA,NA,NA,NA,NA
8322403,NA,NA,NA,NA,NA
7978227,MARINA SHORES,Active,October 2023,6%,December 2026
8276394,NA,NA,NA,NA,NA
8457918,NA,NA,NA,NA,NA
8475745,NA,NA,NA,NA,NA
8270569,NA,NA,NA,NA,NA
8400704,NA,NA,NA,NA,NA
8485125,Marina Living,Active,September 2023,3%,June 2025
8460597,NA,NA,NA,NA,NA
8469284,NA,NA,NA,NA,NA
8464694,NA,NA,NA,NA,NA
8323625,NA,NA,NA,NA,NA
8457231,NA,NA,NA,NA,NA
8427933,NA,NA,NA,NA,NA
8422986,NA,NA,NA,NA,NA
8286055,NA,NA,NA,NA,NA
8182475,NA,NA,NA,NA,NA
7982340,NA,NA,NA,NA,NA
7621409,LIV MARINA,Active,October 2023,56%,May 2025
8419577,NA,NA,NA,NA,NA
8428681,NA,NA,NA,NA,NA
7634915,NA,NA,NA,NA,NA
8397890,NA,NA,NA,NA,NA
8398827,NA,NA,NA,NA,NA
8439170,MARINA SHORES,Active,October 2023,6%,December 2026
8305363,NA,NA,NA,NA,NA
8197944,NA,NA,NA,NA,NA
8382244,NA,NA,NA,NA,NA
5321833,NA,NA,NA,NA,NA
7893767,MARINA SHORES,Active,October 2023,6%,December 2026
7918977,MARINA SHORES,Active,October 2023,6%,December 2026
8215005,NA,NA,NA,NA,NA
6551450,NA,NA,NA,NA,NA
8308645,NA,NA,NA,NA,NA
8330940,NA,NA,NA,NA,NA
8398727,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8108799,NA,NA,NA,NA,NA
8337747,NA,NA,NA,NA,NA
8354192,NA,NA,NA,NA,NA
8307975,NA,NA,NA,NA,NA
7724935,NA,NA,NA,NA,NA
8357926,Ciel,Active,July 2023,80%,NA
8276356,NA,NA,NA,NA,NA
8299753,NA,NA,NA,NA,NA
8320003,LIV MARINA,Active,October 2023,56%,May 2025
7989862,NA,NA,NA,NA,NA
8338201,NA,NA,NA,NA,NA
7983754,NA,NA,NA,NA,NA
8090861,NA,NA,NA,NA,NA
8065317,NA,NA,NA,NA,NA
8257869,NA,NA,NA,NA,NA
7830458,NA,NA,NA,NA,NA
8507273,NA,NA,NA,NA,NA
8158219,NA,NA,NA,NA,NA
8504211,NA,NA,NA,NA,NA
8291695,NA,NA,NA,NA,NA
8478276,NA,NA,NA,NA,NA
8468747,NA,NA,NA,NA,NA
8488371,NA,NA,NA,NA,NA
7723584,NA,NA,NA,NA,NA
8459214,NA,NA,NA,NA,NA
8460430,NA,NA,NA,NA,NA
8453915,NA,NA,NA,NA,NA
8286109,NA,NA,NA,NA,NA
8057270,NA,NA,NA,NA,NA
8439000,NA,NA,NA,NA,NA
8421658,NA,NA,NA,NA,NA
8442420,NA,NA,NA,NA,NA
8419968,NA,NA,NA,NA,NA
6994751,NA,NA,NA,NA,NA
8411455,NA,NA,NA,NA,NA
8397049,NA,NA,NA,NA,NA
8466559,NA,NA,NA,NA,NA
8433685,NA,NA,NA,NA,NA
8403324,NA,NA,NA,NA,NA
8404062,NA,NA,NA,NA,NA
8424695,NA,NA,NA,NA,NA
8344878,NA,NA,NA,NA,NA
8341185,NA,NA,NA,NA,NA
8384365,NA,NA,NA,NA,NA
8356003,NA,NA,NA,NA,NA
8425320,NA,NA,NA,NA,NA
8318930,NA,NA,NA,NA,NA
8315514,NA,NA,NA,NA,NA
8341150,NA,NA,NA,NA,NA
8314162,NA,NA,NA,NA,NA
8308539,NA,NA,NA,NA,NA
8271131,NA,NA,NA,NA,NA
8342467,NA,NA,NA,NA,NA
8328251,NA,NA,NA,NA,NA
8388836,NA,NA,NA,NA,NA
8292070,NA,NA,NA,NA,NA
8288821,NA,NA,NA,NA,NA
8312655,NA,NA,NA,NA,NA
8313824,NA,NA,NA,NA,NA
8313482,NA,NA,NA,NA,NA
8250728,NA,NA,NA,NA,NA
8300114,NA,NA,NA,NA,NA
8233516,NA,NA,NA,NA,NA
8238296,NA,NA,NA,NA,NA
8264650,NA,NA,NA,NA,NA
8246576,NA,NA,NA,NA,NA
8223817,NA,NA,NA,NA,NA
8247284,NA,NA,NA,NA,NA
8259263,NA,NA,NA,NA,NA
8237922,NA,NA,NA,NA,NA
8192053,NA,NA,NA,NA,NA
8257760,NA,NA,NA,NA,NA
8183688,NA,NA,NA,NA,NA
8104723,NA,NA,NA,NA,NA
8343573,NA,NA,NA,NA,NA
8138121,NA,NA,NA,NA,NA
8117575,NA,NA,NA,NA,NA
8238577,NA,NA,NA,NA,NA
8117223,NA,NA,NA,NA,NA
8117339,NA,NA,NA,NA,NA
8090758,NA,NA,NA,NA,NA
8326479,NA,NA,NA,NA,NA
8138077,NA,NA,NA,NA,NA
8160565,NA,NA,NA,NA,NA
8086913,NA,NA,NA,NA,NA
8069013,NA,NA,NA,NA,NA
8073184,NA,NA,NA,NA,NA
8092838,NA,NA,NA,NA,NA
8083840,NA,NA,NA,NA,NA
8068976,NA,NA,NA,NA,NA
8168910,NA,NA,NA,NA,NA
8027194,NA,NA,NA,NA,NA
8448421,NA,NA,NA,NA,NA
8044550,NA,NA,NA,NA,NA
8004647,NA,NA,NA,NA,NA
8222889,NA,NA,NA,NA,NA
8046181,NA,NA,NA,NA,NA
8227049,NA,NA,NA,NA,NA
7960288,NA,NA,NA,NA,NA
8155236,NA,NA,NA,NA,NA
7974494,NA,NA,NA,NA,NA
7983968,NA,NA,NA,NA,NA
7974705,NA,NA,NA,NA,NA
7973585,NA,NA,NA,NA,NA
7947596,NA,NA,NA,NA,NA
8045258,NA,NA,NA,NA,NA
8447359,NA,NA,NA,NA,NA
8227305,NA,NA,NA,NA,NA
8493290,NA,NA,NA,NA,NA
8486576,NA,NA,NA,NA,NA
8284377,NA,NA,NA,NA,NA
7930850,NA,NA,NA,NA,NA
7924667,NA,NA,NA,NA,NA
8489950,NA,NA,NA,NA,NA
8457521,NA,NA,NA,NA,NA
8316788,NA,NA,NA,NA,NA
7978045,NA,NA,NA,NA,NA
7802696,NA,NA,NA,NA,NA
7891551,NA,NA,NA,NA,NA
8424585,NA,NA,NA,NA,NA
7779235,NA,NA,NA,NA,NA
7783485,NA,NA,NA,NA,NA
8077523,NA,NA,NA,NA,NA
8458395,NA,NA,NA,NA,NA
8319872,NA,NA,NA,NA,NA
7955368,NA,NA,NA,NA,NA
7608548,NA,NA,NA,NA,NA
8499333,NA,NA,NA,NA,NA
7591510,NA,NA,NA,NA,NA
7536503,NA,NA,NA,NA,NA
7873329,NA,NA,NA,NA,NA
7823757,NA,NA,NA,NA,NA
7613429,NA,NA,NA,NA,NA
8441658,NA,NA,NA,NA,NA
8442894,NA,NA,NA,NA,NA
7477554,NA,NA,NA,NA,NA
8469329,NA,NA,NA,NA,NA
8357104,NA,NA,NA,NA,NA
8283107,NA,NA,NA,NA,NA
8406596,NA,NA,NA,NA,NA
7362553,NA,NA,NA,NA,NA
8220588,NA,NA,NA,NA,NA
6831657,NA,NA,NA,NA,NA
6796526,NA,NA,NA,NA,NA
8378022,NA,NA,NA,NA,NA
6883638,NA,NA,NA,NA,NA
8102506,NA,NA,NA,NA,NA
6518661,NA,NA,NA,NA,NA
6837175,NA,NA,NA,NA,NA
8530693,NA,NA,NA,NA,NA
8526260,NA,NA,NA,NA,NA
8510577,NA,NA,NA,NA,NA
8515155,NA,NA,NA,NA,NA
8486968,NA,NA,NA,NA,NA
8476194,NA,NA,NA,NA,NA
8476402,NA,NA,NA,NA,NA
8478210,NA,NA,NA,NA,NA
8468181,NA,NA,NA,NA,NA
8438424,NA,NA,NA,NA,NA
8485110,NA,NA,NA,NA,NA
8497018,NA,NA,NA,NA,NA
8479295,NA,NA,NA,NA,NA
8435482,NA,NA,NA,NA,NA
8435965,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8438891,NA,NA,NA,NA,NA
8376651,NA,NA,NA,NA,NA
8389119,NA,NA,NA,NA,NA
8452521,LIV MARINA,Active,October 2023,56%,May 2025
8463671,LIV MARINA,Active,October 2023,56%,May 2025
8385504,NA,NA,NA,NA,NA
8312431,NA,NA,NA,NA,NA
8312671,NA,NA,NA,NA,NA
8406611,NA,NA,NA,NA,NA
8497336,NA,NA,NA,NA,NA
8469398,NA,NA,NA,NA,NA
8375177,NA,NA,NA,NA,NA
8310749,Ciel,Active,July 2023,80%,NA
8386040,NA,NA,NA,NA,NA
8401137,NA,NA,NA,NA,NA
8324173,Ciel,Active,July 2023,80%,NA
8431695,NA,NA,NA,NA,NA
8286052,NA,NA,NA,NA,NA
8307986,Ciel,Active,July 2023,80%,NA
8337168,NA,NA,NA,NA,NA
8300272,NA,NA,NA,NA,NA
8374578,NA,NA,NA,NA,NA
8316400,LIV MARINA,Active,October 2023,56%,May 2025
8215081,NA,NA,NA,NA,NA
8246194,NA,NA,NA,NA,NA
8215079,NA,NA,NA,NA,NA
8215085,NA,NA,NA,NA,NA
8374579,NA,NA,NA,NA,NA
8201711,MARINA SHORES,Active,October 2023,6%,December 2026
8223120,Ciel,Active,July 2023,80%,NA
8193134,NA,NA,NA,NA,NA
8387712,NA,NA,NA,NA,NA
8144907,NA,NA,NA,NA,NA
8173306,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8121595,NA,NA,NA,NA,NA
8166565,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8232433,NA,NA,NA,NA,NA
7890660,NA,NA,NA,NA,NA
8467197,NA,NA,NA,NA,NA
8025952,LIV MARINA,Active,October 2023,56%,May 2025
7883841,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
7877197,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
7682012,LIV LUX,Active,August 2023,3%,December 2026
7681891,LIV MARINA,Active,October 2023,56%,May 2025
7681741,LIV MARINA,Active,October 2023,56%,May 2025
7682010,LIV LUX,Active,August 2023,3%,December 2026
7673283,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8373108,NA,NA,NA,NA,NA
7640069,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8215084,NA,NA,NA,NA,NA
7813188,NA,NA,NA,NA,NA
8398081,NA,NA,NA,NA,NA
8277192,NA,NA,NA,NA,NA
8321466,NA,NA,NA,NA,NA
6814106,NA,NA,NA,NA,NA
6660102,NA,NA,NA,NA,NA
6544192,NA,NA,NA,NA,NA
6637312,MARINA SHORES,Active,October 2023,6%,December 2026
7501162,NA,NA,NA,NA,NA
6065288,NA,NA,NA,NA,NA
5983681,NA,NA,NA,NA,NA
7867907,NA,NA,NA,NA,NA
2347336,NA,NA,NA,NA,NA
